구분,기관명,주소,전화,팩스,긴급연락처,이메일,관할/비고,담당자(확인필요)
KOTRA,베이징무역관(중국지역본부),"A-29F Beijing POSCO Center, Hongtai East St., Wangjing, Chaoyang, Beijing 100102",+86-10-6410-6162,+86-10-6505-2310,,yifan2775@kotra.or.kr; pekktc@kotra.or.kr,중국지역본부,
KOTRA,상하이무역관,"Room 3110, Shanghai Maxdo Center, No.8 Xing Yi Rd, Shanghai 200336",+86-21-5108-8771/2,+86-21-6219-6015,,shanghai@kotra.or.kr,화동,
KOTRA,광저우무역관,"2904-07A Teem Tower, No.208 TianHe Rd, Tianhe, Guangzhou 510620",+86-20-2208-1600,+86-20-2208-1636,,canton@kotra.or.kr,광둥(1순위),
KOTRA,선전무역관,"Room 1205, North Tower, Shenzhen Energy Center, No.2026 Jintian Rd, Futian, Shenzhen 518048",+86-755-8335-9991,+86-755-8335-9880,,zeonghyang@kotra.or.kr,선전,
KOTRA,칭다오무역관,산둥성 칭다오(상세 확인),+86-532-8388-7931,+86-532-8388-7935,,zaiyuan@kotra.or.kr; 572park@kotra.or.kr,산둥,관장 황재원/부관장 박영규(2023)
KOTRA,다롄무역관,大连市西岗区中山路147号 信武大厦 14층 1403A,+86-411-8253-0051~3,+86-411-8253-0050,,kotradlc@kotra.or.kr,다롄,
KOTRA,톈진무역관,天津市和平区赤峰道136号 天津国际金融中心 2911,+86-22-2329-6631,,,,톈진,
KOTRA,선양무역관,沈阳市和平区青年大街286号 华润大厦 A座 1703室 110004,+86-24-3137-0770,+86-24-3137-0773,,kotra_sy@kotra.or.kr,동북3성,
KOTRA,하얼빈무역관,哈尔滨市道里区富力中心写字楼 1806 150076,+86-451-5110-7080,+86-451-5110-7081,,,헤이룽장,
KOTRA,창춘무역관,"Room 1309, No.3518-B, People's St., Nanguan Dist., Changchun, Jilin",+86-431-8051-9850,+86-431-8051-9851,,ccn_kbc@kotra.or.kr,지린(장춘 출장 후속 1순위),
KOTRA,우한무역관,武汉市汉口建设大道568号 武汉新世界国贸中心 1206室,+86-27-5930-9299,+86-27-5931-3669,,wuhankbc@kotra.or.kr,화중,
KOTRA,청두무역관,成都市锦江区顺城大街8号 中环广场 2座 29层,+86-28-8672-3501~6,+86-28-8672-3507,,ctu_ktc@kotra.or.kr,서남,
KOTRA,충칭무역관,重庆市江北区洋河一路68号 协信中心 C栋 10-8 400020,+86-23-6039-1005,+86-23-6039-1009,,tinat@kotra.or.kr,충칭,
KOTRA,시안무역관,"1905 Maike Center, No.12 Jinye Rd, Gaoxin, Xi'an 710077",+86-29-8883-1060,+86-29-8883-1056,,yjp88@kotra.or.kr,서북,
KOTRA,난징무역관,장쑤성 난징(상세 확인),+86-25-8328-8991~3,,,,장쑤,
KOTRA,항저우무역관,"Room 2502, Wanyin International Center, No.100 Minxin Rd, Shangcheng, Hangzhou",+86-571-8110-3099,+86-571-8110-3098,,sj_jeon@kotra.or.kr,저장(CBEC),
KOTRA,창사무역관,"No.2516 T1 IFS, 188 Jiefang West Rd, Furong, Changsha 410000",+86-731-8564-0080,,,daeyonglee@kotra.or.kr,후난,
KOTRA,정저우무역관,郑州市金水东路33号 美盛中心 706室,+86-371-8616-3927,,,716090@kotra.or.kr(2017),허난,
KOTRA,샤먼무역관,"Unit G, 21F, International Bank Building, No.8 Lujiangdao, Xiamen",+86-592-210-3190~2,+86-592-210-3193,,kklee@kotra.or.kr,푸젠,
KOTRA,홍콩무역관,"Rm 3102, Central Plaza, 18 Harbour Rd, Wanchai, Hong Kong",+852-2545-9500,+852-2815-0487,,kotra5@kotra.org.hk,홍콩,
공관,주중국 대사관,北京市朝阳区第三使馆区东方东路20号 100600,+86-10-8531-0700 (영사부 8532-0404),+86-10-6532-3891,+86-186-1173-0089,chinaconsul@mofa.go.kr; chinavisa@mofa.go.kr,베이징 직할,노재헌 대사(검색기준)
공관,주상하이 총영사관,上海市万山路60号 200336,+86-21-6295-5000,+86-21-6295-2629,+86-138-1650-9503,shanghai@mofa.go.kr,상하이·안후이·장쑤·저장,
공관,주광저우 총영사관,广州市海珠区赤岗领事馆区友邻三路18号 510310,+86-20-2919-2999,+86-20-2919-2963,,guangzhou@mofa.go.kr,광둥·광시·하이난·푸젠,
공관,주칭다오 총영사관,青岛市城阳区春阳路88号 266109,+86-532-8897-6001,+86-532-8897-6005,+86-186-6026-5087,qdconsul@mofa.go.kr,산둥,
공관,주선양 총영사관,沈阳市和平区南十三纬路37号,+86-24-2385-3388,,+86-138-0400-6338,shenyang@mofa.go.kr,랴오닝·지린·헤이룽장,
공관,주청두 총영사관,成都市东御街18号 百扬大厦 14楼 610016,+86-28-8616-5800,+86-28-8616-5789,+86-139-8095-6348,chengdu@mofa.go.kr,충칭·쓰촨·윈난·구이저우,
